ZDB-GENE-980526-340	ENSDARG00000017821
MGI:98278	ENSMUSG00000026582
MGI:97878	ENSMUSG00000041534
MGI:88586	ENSMUSG00000003555
MGI:1918843	ENSMUSG00000020782
MGI:1339972	ENSMUSG00000074768
MGI:1926945	ENSMUSG00000014158
MGI:97845	ENSMUSG00000001847
MGI:1098641	ENSMUSG00000028868
MGI:1891259	ENSMUSG00000028003
MGI:103177	ENSMUSG00000056569
MGI:88579	ENSMUSG00000056436
MGI:99668	ENSMUSG00000027322
MGI:1925723	ENSMUSG00000057058
MGI:1913750	ENSMUSG00000054414
MGI:98365	ENSMUSG00000045179
MGI:97598	ENSMUSG00000021948
MGI:88396	ENSMUSG00000032773
MGI:2148924	ENSMUSG00000007041
MGI:1920591	ENSMUSG00000031133
MGI:2652871	ENSMUSG00000044447
MGI:98919	ENSMUSG00000024653
MGI:1097164	ENSMUSG00000025105
MGI:1891838	ENSMUSG00000006310
MGI:1346878	ENSMUSG00000024235
MGI:106054	ENSMUSG00000021178
MGI:2685142	ENSMUSG00000022026
MGI:1346318	ENSMUSG00000000078
MGI:88107	ENSMUSG00000040907
MGI:1096865	ENSMUSG00000023013
MGI:1202890	ENSMUSG00000031465
MGI:2685011	ENSMUSG00000036862
MGI:96930	ENSMUSG00000071856
MGI:1930134	ENSMUSG00000020715
MGI:1923777	ENSMUSG00000031750
MGI:99923	ENSMUSG00000063142
MGI:1095416	ENSMUSG00000027276
MGI:2441906	ENSMUSG00000051136
MGI:103227	ENSMUSG00000016756
MGI:95957	ENSMUSG00000067212
MGI:1927338	ENSMUSG00000053025
MGI:1929004	ENSMUSG00000018209
MGI:103296	ENSMUSG00000031902
MGI:2429770	ENSMUSG00000020692
MGI:1202065	ENSMUSG00000032113
MGI:102682	ENSMUSG00000020536
MGI:1338074	ENSMUSG00000004221
MGI:2446296	ENSMUSG00000034135
MGI:2151136	ENSMUSG00000049252
MGI:2153060	ENSMUSG00000043448
MGI:2136825	ENSMUSG00000031652
MGI:2441763	ENSMUSG00000047415
MGI:94859	ENSMUSG00000042096
MGI:1339751	ENSMUSG00000038067
MGI:96187	ENSMUSG00000000690
MGI:1350916	ENSMUSG00000013997
MGI:1914667	ENSMUSG00000030871
MGI:108046	ENSMUSG00000028581
MGI:1333772	ENSMUSG00000029286
MGI:2153589	ENSMUSG00000029033
MGI:1337096	ENSMUSG00000051234
MGI:104897	ENSMUSG00000029249
MGI:1926051	ENSMUSG00000041323
MGI:1353620	ENSMUSG00000015314
MGI:109495	ENSMUSG00000056749
MGI:109196	ENSMUSG00000003934
MGI:1915762	ENSMUSG00000078713
MGI:1915509	ENSMUSG00000027778
MGI:1933206	ENSMUSG00000039579
MGI:1914824	ENSMUSG00000041718
MGI:1100514	ENSMUSG00000020994
MGI:99835	ENSMUSG00000021685
MGI:1100512	ENSMUSG00000031928
MGI:97342	ENSMUSG00000005397
MGI:1916835	ENSMUSG00000038403
MGI:2654070	ENSMUSG00000061517
MGI:2384815	ENSMUSG00000022022
MGI:1347354	ENSMUSG00000025813
MGI:2142716	ENSMUSG00000031545
MGI:894695	ENSMUSG00000026994
MGI:103036	ENSMUSG00000004043
MGI:99914	ENSMUSG00000026478
MGI:1352753	ENSMUSG00000030406
MGI:103262	ENSMUSG00000053110
MGI:2135874	ENSMUSG00000025196
MGI:1859639	ENSMUSG00000031142
MGI:1922004	ENSMUSG00000034926
MGI:1346332	ENSMUSG00000037418
MGI:1891916	ENSMUSG00000003282
MGI:96937	ENSMUSG00000022227
MGI:102968	ENSMUSG00000089727
MGI:2153588	ENSMUSG00000042717
MGI:2443220	ENSMUSG00000068323
MGI:1196389	ENSMUSG00000039176
MGI:3612191	ENSMUSG00000074151
MGI:1859183	ENSMUSG00000039354
MGI:1330819	ENSMUSG00000022146
MGI:3039563	ENSMUSG00000042388
MGI:1924375	ENSMUSG00000024810
MGI:96615	ENSMUSG00000026971
MGI:3039603	ENSMUSG00000074004
MGI:2158492	Not found
MGI:88333	ENSMUSG00000002033
MGI:1914719	ENSMUSG00000032540
MGI:1289273	ENSMUSG00000039220
MGI:1918529	ENSMUSG00000020100
MGI:95476	ENSMUSG00000028773
MGI:1917167	ENSMUSG00000025374
MGI:88256	ENSMUSG00000024617
MGI:2444289	ENSMUSG00000052942
MGI:96629	ENSMUSG00000024789
MGI:101772	ENSMUSG00000027488
MGI:102793	ENSMUSG00000022816
MGI:1932535	ENSMUSG00000014303
MGI:2179432	ENSMUSG00000033004
MGI:2145264	ENSMUSG00000044231
MGI:1201403	ENSMUSG00000024366
MGI:99924	ENSMUSG00000017311
MGI:1354756	ENSMUSG00000024074
MGI:88005	ENSMUSG00000031354
MGI:2143261	ENSMUSG00000037953
MGI:1915913	ENSMUSG00000026819
MGI:2663985	ENSMUSG00000102367
MGI:1194915	ENSMUSG00000023017
MGI:1859147	ENSMUSG00000034266
MGI:95805	ENSMUSG00000059923
MGI:97511	ENSMUSG00000021587
MGI:1277954	ENSMUSG00000031289
MGI:88470	ENSMUSG00000000326
MGI:1354755	ENSMUSG00000034391
MGI:3588225	ENSMUSG00000073207
MGI:1914710	ENSMUSG00000028223
MGI:1891468	ENSMUSG00000050199
MGI:1351638	ENSMUSG00000025609
MGI:2138934	ENSMUSG00000036792
MGI:1100882	ENSMUSG00000012520
MGI:1920266	ENSMUSG00000040680
MGI:1855698	ENSMUSG00000028476
MGI:1920989	ENSMUSG00000022428
MGI:1098266	ENSMUSG00000030077
MGI:2445289	ENSMUSG00000029322
MGI:97305	ENSMUSG00000007038
MGI:94941	ENSMUSG00000029071
MGI:1889024	ENSMUSG00000022667
MGI:105084	ENSMUSG00000023927
MGI:1927235	ENSMUSG00000031835
MGI:1330838	ENSMUSG00000021190
MGI:97931	ENSMUSG00000039097
MGI:1333744	ENSMUSG00000050675
MGI:88031	ENSMUSG00000021814
MGI:105492	ENSMUSG00000055541
MGI:87911	ENSMUSG00000026836
MGI:109558	ENSMUSG00000064796
MGI:96709	ENSMUSG00000035606
MGI:2387591	ENSMUSG00000032096
MGI:1921354	ENSMUSG00000026198
MGI:106188	ENSMUSG00000033318
MGI:97365	ENSMUSG00000021871
MGI:96189	ENSMUSG00000056648
MGI:1270129	ENSMUSG00000028410
MGI:894698	ENSMUSG00000001508
MGI:1917912	ENSMUSG00000023959
MGI:1347559	ENSMUSG00000045521
MGI:88067	ENSMUSG00000022602
MGI:1926609	ENSMUSG00000028211
MGI:1100851	ENSMUSG00000040028
MGI:97809	ENSMUSG00000020154
MGI:96828	ENSMUSG00000040249
MGI:105082	ENSMUSG00000021427
MGI:1277163	ENSMUSG00000006270
MGI:107935	ENSMUSG00000030029
MGI:1353627	ENSMUSG00000028553
MGI:2676828	ENSMUSG00000065445
MGI:1098211	ENSMUSG00000039936
MGI:2443758	ENSMUSG00000059708
MGI:2449307	ENSMUSG00000043241
MGI:96904	ENSMUSG00000007458
MGI:88557	ENSMUSG00000005615
MGI:109266	ENSMUSG00000023132
MGI:2181411	ENSMUSG00000030781
MGI:1927152	ENSMUSG00000096054
MGI:1277186	ENSMUSG00000038160
MGI:101783	ENSMUSG00000025758
MGI:3603594	ENSMUSG00000047414
MGI:2429397	ENSMUSG00000055994
MGI:1929215	ENSMUSG00000041236
MGI:95691	ENSMUSG00000026100
MGI:1354386	ENSMUSG00000021959
MGI:1313288	ENSMUSG00000024660
MGI:2159711	ENSMUSG00000025437
MGI:1918576	ENSMUSG00000023993
MGI:1195976	ENSMUSG00000038754
MGI:104857	ENSMUSG00000036858
MGI:104618	ENSMUSG00000025804
MGI:1921375	ENSMUSG00000032468
MGI:1340044	ENSMUSG00000028613
MGI:107817	ENSMUSG00000041550
MGI:1923041	ENSMUSG00000032867
MGI:1917264	ENSMUSG00000027425
MGI:95415	ENSMUSG00000040732
MGI:1919439	ENSMUSG00000024392
MGI:1858197	ENSMUSG00000027998
MGI:1914544	ENSMUSG00000028431
MGI:98507	ENSMUSG00000000782
MGI:1925559	ENSMUSG00000040327
MGI:97797	ENSMUSG00000047250
MGI:99216	ENSMUSG00000003534
MGI:99953	ENSMUSG00000049908
MGI:95520	ENSMUSG00000000183
MGI:1916510	ENSMUSG00000063049
MGI:2384210	ENSMUSG00000039577
MGI:96216	ENSMUSG00000032207
MGI:2143698	ENSMUSG00000036099
MGI:96274	ENSMUSG00000049511
MGI:109521	ENSMUSG00000034997
MGI:2447348	ENSMUSG00000050860
MGI:1276578	ENSMUSG00000026815
MGI:88376	ENSMUSG00000068267
MGI:1353471	ENSMUSG00000078247
MGI:87935	ENSMUSG00000058620
MGI:1890564	ENSMUSG00000022951
MGI:97231	ENSMUSG00000042784
MGI:2679336	ENSMUSG00000038331
MGI:103073	ENSMUSG00000024734
MGI:1923959	ENSMUSG00000006304
MGI:1349669	ENSMUSG00000005883
MGI:1337113	ENSMUSG00000022758
MGI:1915674	ENSMUSG00000056486
MGI:894293	ENSMUSG00000024515
MGI:894323	ENSMUSG00000003226
MGI:97588	ENSMUSG00000004842
MGI:88399	ENSMUSG00000040495
MGI:2151153	ENSMUSG00000022687
MGI:2441992	ENSMUSG00000044317
MGI:1349717	ENSMUSG00000018501
MGI:104995	ENSMUSG00000028124
MGI:3036267	ENSMUSG00000049288
MGI:894689	ENSMUSG00000020849
MGI:109562	ENSMUSG00000044337
MGI:109173	ENSMUSG00000044322
MGI:106651	ENSMUSG00000022587
MGI:1928486	ENSMUSG00000028011
MGI:1347488	ENSMUSG00000056493
MGI:1329040	ENSMUSG00000024868
MGI:1889844	ENSMUSG00000030101
MGI:88451	ENSMUSG00000001435
MGI:1352762	ENSMUSG00000000085
MGI:107476	ENSMUSG00000030987
MGI:1277124	ENSMUSG00000031591
MGI:98869	ENSMUSG00000072235
MGI:1920753	ENSMUSG00000038691
MGI:1346882	ENSMUSG00000037337
MGI:1298392	ENSMUSG00000071657
MGI:109153	ENSMUSG00000021843
MGI:104873	ENSMUSG00000031521
MGI:1314653	ENSMUSG00000068036
MGI:1261809	ENSMUSG00000018841
MGI:96416	ENSMUSG00000031551
MGI:2148922	ENSMUSG00000013787
MGI:2385046	ENSMUSG00000036196
MGI:88543	ENSMUSG00000074698
MGI:3629687	Not found
MGI:1862037	ENSMUSG00000017740
MGI:1914963	ENSMUSG00000027679
MGI:2178217	ENSMUSG00000040407
MGI:1346881	ENSMUSG00000023050
MGI:1351659	ENSMUSG00000040505
MGI:1913287	ENSMUSG00000030159
MGI:1920257	ENSMUSG00000058761
MGI:2676825	ENSMUSG00000065439
MGI:1313314	ENSMUSG00000047501
MGI:1353510	ENSMUSG00000040940
MGI:88156	ENSMUSG00000074483
MGI:1309516	ENSMUSG00000029344
MGI:88375	ENSMUSG00000029177
MGI:2673307	ENSMUSG00000047591
MGI:97564	ENSMUSG00000029171
MGI:2176887	ENSMUSG00000040522
MGI:96074	ENSMUSG00000021665
MGI:88111	ENSMUSG00000026463
MGI:1858901	ENSMUSG00000021065
MGI:3512453	ENSMUSG00000047878
MGI:101769	ENSMUSG00000038612
MGI:97499	ENSMUSG00000041650
MGI:97890	ENSMUSG00000027323
MGI:1916051	ENSMUSG00000032349
MGI:2445125	ENSMUSG00000055546
MGI:99909	ENSMUSG00000024421
MGI:97566	ENSMUSG00000056131
MGI:109325	ENSMUSG00000031443
MGI:1916832	ENSMUSG00000028917
MGI:1341090	ENSMUSG00000022074
MGI:98460	ENSMUSG00000037217
MGI:1313277	ENSMUSG00000020894
MGI:87938	ENSMUSG00000045730
MGI:1918355	ENSMUSG00000026273
MGI:88384	ENSMUSG00000031138
MGI:102500	ENSMUSG00000064345
MGI:2150010	ENSMUSG00000046518
MGI:1891247	ENSMUSG00000062372
MGI:1921690	ENSMUSG00000034390
MGI:102755	ENSMUSG00000028042
MGI:1340034	ENSMUSG00000063531
MGI:1920336	ENSMUSG00000021180
MGI:2141917	ENSMUSG00000041187
MGI:107687	ENSMUSG00000032717
MGI:1916034	ENSMUSG00000036158
MGI:99917	ENSMUSG00000005360
MGI:1196275	ENSMUSG00000030165
MGI:1929461	ENSMUSG00000013033
MGI:1350929	ENSMUSG00000029752
MGI:2143311	ENSMUSG00000025235
MGI:3646642	ENSMUSG00000091055
MGI:97348	ENSMUSG00000044220
MGI:105095	ENSMUSG00000004791
MGI:95401	ENSMUSG00000028906
MGI:1891697	ENSMUSG00000044534
MGI:107556	ENSMUSG00000022231
MGI:2444304	ENSMUSG00000046230
MGI:1347062	ENSMUSG00000027230
MGI:1351619	ENSMUSG00000027048
MGI:109564	ENSMUSG00000074657
MGI:96940	ENSMUSG00000061068
MGI:1914762	ENSMUSG00000026922
MGI:95674	ENSMUSG00000000394
MGI:2443727	ENSMUSG00000072663
MGI:2152345	ENSMUSG00000054321
MGI:1197517	ENSMUSG00000020451
MGI:1859866	ENSMUSG00000006398
MGI:1316721	ENSMUSG00000019230
MGI:1917777	ENSMUSG00000006906
MGI:2181182	ENSMUSG00000022142
MGI:1345282	ENSMUSG00000005802
MGI:95607	ENSMUSG00000078650
MGI:1927126	ENSMUSG00000023945
MGI:1195261	ENSMUSG00000035064
MGI:88457	ENSMUSG00000026837
MGI:107742	ENSMUSG00000032327
MGI:1935151	ENSMUSG00000025959
MGI:102541	ENSMUSG00000018263
MGI:1315197	ENSMUSG00000000628
MGI:107403	ENSMUSG00000026034
MGI:1353568	ENSMUSG00000026849
MGI:99578	ENSMUSG00000021478
MGI:99461	ENSMUSG00000031381
MGI:1926007	ENSMUSG00000050310
MGI:95662	ENSMUSG00000015053
MGI:1923707	ENSMUSG00000068114
MGI:88296	ENSMUSG00000004113
MGI:1919574	ENSMUSG00000017417
MGI:2444155	ENSMUSG00000042751
MGI:96909	ENSMUSG00000055435
MGI:96982	ENSMUSG00000033307
MGI:1926479	ENSMUSG00000040751
MGI:1859637	ENSMUSG00000006649
MGI:97858	ENSMUSG00000001288
MGI:2446854	ENSMUSG00000031298
MGI:2385231	ENSMUSG00000038569
MGI:96180	ENSMUSG00000038227
MGI:2443935	ENSMUSG00000036281
MGI:2442620	ENSMUSG00000039509
MGI:96609	ENSMUSG00000030789
MGI:1196624	ENSMUSG00000033813
MGI:2140279	ENSMUSG00000035517
MGI:1354951	ENSMUSG00000028479
MGI:104574	ENSMUSG00000025314
MGI:99459	ENSMUSG00000031618
MGI:97052	ENSMUSG00000078365
MGI:2442474	ENSMUSG00000036095
MGI:95771	ENSMUSG00000057614
MGI:1890647	ENSMUSG00000075324
MGI:99828	ENSMUSG00000031596
MGI:107181	ENSMUSG00000001225
MGI:2384307	ENSMUSG00000044921
MGI:105091	ENSMUSG00000027552
MGI:97424	ENSMUSG00000061923
MGI:2449057	ENSMUSG00000029777
MGI:1919348	ENSMUSG00000028232
MGI:1195269	ENSMUSG00000061742
MGI:103035	ENSMUSG00000020919
MGI:1196250	ENSMUSG00000030149
MGI:98973	ENSMUSG00000024066
MGI:99511	ENSMUSG00000043733
MGI:99187	ENSMUSG00000051176
MGI:1352493	ENSMUSG00000030847
MGI:1916833	ENSMUSG00000089669
MGI:1349764	ENSMUSG00000025478
MGI:108295	ENSMUSG00000029528
MGI:1924696	ENSMUSG00000075254
MGI:1919682	ENSMUSG00000055561
MGI:1858212	ENSMUSG00000004098
MGI:88327	ENSMUSG00000026012
MGI:1859631	ENSMUSG00000028019
MGI:95615	ENSMUSG00000031343
MGI:2137336	ENSMUSG00000025372
MGI:892014	ENSMUSG00000031548
MGI:96285	ENSMUSG00000020838
MGI:1923539	ENSMUSG00000029629
MGI:101932	ENSMUSG00000037852
MGI:1890378	ENSMUSG00000058638
MGI:1914047	ENSMUSG00000039419
MGI:1859545	ENSMUSG00000024743
MGI:97173	ENSMUSG00000031760
MGI:101838	ENSMUSG00000014767
MGI:1261813	ENSMUSG00000070576
MGI:107231	ENSMUSG00000022770
MGI:101848	ENSMUSG00000032192
MGI:1924845	ENSMUSG00000027939
MGI:95776	ENSMUSG00000024639
MGI:2385459	ENSMUSG00000037104
MGI:1194503	ENSMUSG00000020788
MGI:97478	ENSMUSG00000071356
MGI:1338881	ENSMUSG00000031995
MGI:2443878	ENSMUSG00000021733
MGI:1914220	ENSMUSG00000003992
MGI:98926	ENSMUSG00000027962
MGI:97526	ENSMUSG00000025386
MGI:1913483	ENSMUSG00000009640
MGI:103579	ENSMUSG00000020310
MGI:101916	ENSMUSG00000019874
MGI:98961	ENSMUSG00000030093
MGI:88264	ENSMUSG00000026509
MGI:98847	ENSMUSG00000053470
MGI:3525053	ENSMUSG00000040734
MGI:1931627	ENSMUSG00000031230
MGI:2669037	ENSMUSG00000050106
MGI:107945	ENSMUSG00000045817
MGI:95499	ENSMUSG00000026656
MGI:88190	ENSMUSG00000002413
MGI:1855696	ENSMUSG00000024379
MGI:1333870	ENSMUSG00000030850
MGI:109452	ENSMUSG00000031681
MGI:1202722	ENSMUSG00000060261
MGI:1337100	ENSMUSG00000005103
MGI:95454	ENSMUSG00000036617
MGI:1337120	ENSMUSG00000000958
MGI:1918387	ENSMUSG00000020037
MGI:1278319	ENSMUSG00000052270
MGI:1915928	ENSMUSG00000027077
MGI:1197007	ENSMUSG00000032000
MGI:1913266	ENSMUSG00000035824
MGI:106684	ENSMUSG00000036330
MGI:1099790	ENSMUSG00000021701
MGI:1913837	ENSMUSG00000028959
MGI:1100886	ENSMUSG00000029086
MGI:1922035	ENSMUSG00000026858
MGI:97879	ENSMUSG00000024990
MGI:1929658	ENSMUSG00000020115
MGI:1933163	ENSMUSG00000027993
MGI:1930187	ENSMUSG00000025151
MGI:2153041	ENSMUSG00000056966
MGI:1346863	ENSMUSG00000046709
MGI:95749	ENSMUSG00000038257
MGI:1202878	ENSMUSG00000026650
MGI:1914533	ENSMUSG00000020744
MGI:1916788	ENSMUSG00000033420
MGI:104698	ENSMUSG00000004613
MGI:103062	ENSMUSG00000062939
MGI:1914487	ENSMUSG00000031446
MGI:99906	ENSMUSG00000033191
MGI:101876	ENSMUSG00000055320
MGI:96113	ENSMUSG00000066551
MGI:2444210	ENSMUSG00000020889
MGI:98795	ENSMUSG00000033834
MGI:2150150	ENSMUSG00000026904
MGI:96561	ENSMUSG00000040329
MGI:1353434	ENSMUSG00000034450
MGI:1352466	ENSMUSG00000005893
MGI:99474	ENSMUSG00000060216
MGI:2387643	ENSMUSG00000063439
MGI:97537	ENSMUSG00000020717
MGI:104637	ENSMUSG00000029287
MGI:1919638	ENSMUSG00000005251
MGI:1355318	ENSMUSG00000005465
MGI:1858422	ENSMUSG00000031861
MGI:97347	ENSMUSG00000027434
MGI:88343	ENSMUSG00000030156
MGI:104741	ENSMUSG00000021025
MGI:102551	ENSMUSG00000072082
MGI:1338071	ENSMUSG00000031537
MGI:1335079	ENSMUSG00000027186
MGI:1913192	ENSMUSG00000028259
MGI:1925152	ENSMUSG00000015711
MGI:1098283	ENSMUSG00000020893
MGI:96208	ENSMUSG00000101174
MGI:97394	ENSMUSG00000030934
MGI:87998	ENSMUSG00000000320
MGI:1926058	ENSMUSG00000019790
MGI:1298387	ENSMUSG00000023092
MGI:894762	ENSMUSG00000025223
MGI:103574	ENSMUSG00000021314
MGI:1927999	ENSMUSG00000005373
MGI:1889005	ENSMUSG00000004988
MGI:1196274	ENSMUSG00000028873
MGI:109323	ENSMUSG00000026228
MGI:1921346	ENSMUSG00000064267
MGI:99146	ENSMUSG00000028639
MGI:95432	ENSMUSG00000061959
MGI:1347002	ENSMUSG00000004105
MGI:1915666	ENSMUSG00000084174
MGI:101895	ENSMUSG00000095139
MGI:1346325	ENSMUSG00000021453
MGI:1270153	ENSMUSG00000027288
MGI:96929	ENSMUSG00000038537
MGI:3042378	ENSMUSG00000049176
MGI:96103	ENSMUSG00000037012
MGI:107188	ENSMUSG00000015709
MGI:2441808	ENSMUSG00000033102
MGI:88329	ENSMUSG00000016494
MGI:1919357	ENSMUSG00000022422
MGI:98753	ENSMUSG00000017466
MGI:2178598	ENSMUSG00000038982
MGI:1347008	ENSMUSG00000004846
MGI:103298	ENSMUSG00000040613
MGI:102890	ENSMUSG00000020326
MGI:2443183	ENSMUSG00000056050
MGI:1927753	ENSMUSG00000026925
MGI:1858178	ENSMUSG00000032010
MGI:2145950	ENSMUSG00000022568
MGI:98328	ENSMUSG00000047904
MGI:1914853	ENSMUSG00000019960
MGI:1929538	ENSMUSG00000068921
MGI:1352447	ENSMUSG00000025194
MGI:1352630	ENSMUSG00000030249
MGI:1921692	ENSMUSG00000050931
MGI:2669796	ENSMUSG00000050896
MGI:2443639	ENSMUSG00000046753
MGI:109574	ENSMUSG00000024979
MGI:105062	ENSMUSG00000023047
MGI:2676885	ENSMUSG00000065455
MGI:1343085	ENSMUSG00000057522
MGI:97808	ENSMUSG00000027303
MGI:1341909	ENSMUSG00000025779
MGI:1914434	ENSMUSG00000036199
MGI:1929230	ENSMUSG00000060708
MGI:2144117	ENSMUSG00000038290
MGI:2659071	ENSMUSG00000062232
MGI:108059	ENSMUSG00000029428
MGI:1932093	ENSMUSG00000034271
MGI:1194504	ENSMUSG00000044708
MGI:1914720	ENSMUSG00000024254
MGI:1933192	ENSMUSG00000009941
MGI:98347	ENSMUSG00000102252
MGI:1923442	ENSMUSG00000032046
MGI:1861380	ENSMUSG00000057342
MGI:97076	ENSMUSG00000006389
MGI:1099804	ENSMUSG00000039959
MGI:106601	ENSMUSG00000050058
MGI:1914725	ENSMUSG00000057069
MGI:2179523	ENSMUSG00000059089
MGI:98229	ENSMUSG00000026542
MGI:1206039	ENSMUSG00000035187
MGI:3612190	ENSMUSG00000042828
MGI:87904	ENSMUSG00000029580
MGI:2141857	ENSMUSG00000038539
MGI:1306821	ENSMUSG00000066877
MGI:99846	ENSMUSG00000015291
MGI:96788	ENSMUSG00000054263
MGI:1100881	ENSMUSG00000027978
MGI:2668412	ENSMUSG00000051209
MGI:88385	ENSMUSG00000026365
MGI:2450915	ENSMUSG00000055319
MGI:97813	ENSMUSG00000041836
MGI:3603820	ENSMUSG00000038593
MGI:1345138	ENSMUSG00000022114
MGI:1923517	ENSMUSG00000010663
MGI:1890149	ENSMUSG00000027940
MGI:98250	ENSMUSG00000001027
MGI:1328317	ENSMUSG00000049734
MGI:88521	ENSMUSG00000044429
MGI:1351633	ENSMUSG00000032594
MGI:108417	ENSMUSG00000039481
MGI:1927166	ENSMUSG00000034612
MGI:96785	ENSMUSG00000000247
MGI:1338820	ENSMUSG00000030046
MGI:2441982	ENSMUSG00000035936
MGI:1344365	ENSMUSG00000053226
MGI:1355296	ENSMUSG00000023826
MGI:107490	ENSMUSG00000024975
MGI:109565	ENSMUSG00000006307
MGI:1333791	ENSMUSG00000028539
MGI:103006	ENSMUSG00000026383
MGI:95519	ENSMUSG00000029337
MGI:99495	ENSMUSG00000024335
MGI:3505689	ENSMUSG00000039518
MGI:99523	ENSMUSG00000028691
MGI:1915268	ENSMUSG00000021669
MGI:87868	ENSMUSG00000029545
MGI:894288	ENSMUSG00000064373
MGI:96599	ENSMUSG00000042284
MGI:1891150	ENSMUSG00000053205
MGI:104903	ENSMUSG00000055653
MGI:97502	ENSMUSG00000019795
MGI:2183426	ENSMUSG00000028871
MGI:95411	ENSMUSG00000018166
MGI:1921448	ENSMUSG00000004947
MGI:1349410	ENSMUSG00000033088
MGI:104790	ENSMUSG00000055027
MGI:98914	ENSMUSG00000022435
MGI:2652843	ENSMUSG00000037253
MGI:87937	ENSMUSG00000035283
MGI:1919711	ENSMUSG00000061119
MGI:2443868	ENSMUSG00000032948
MGI:5000466	ENSMUSG00000039062
MGI:1099446	ENSMUSG00000043079
MGI:1196458	ENSMUSG00000029426
MGI:1343460	ENSMUSG00000031985
MGI:1890773	ENSMUSG00000054808
MGI:1931307	ENSMUSG00000038496
MGI:1098610	ENSMUSG00000019303
MGI:88140	ENSMUSG00000053175
MGI:97547	ENSMUSG00000020277
MGI:1926080	ENSMUSG00000027010
MGI:1891340	ENSMUSG00000020593
MGI:1927803	ENSMUSG00000026415
MGI:106008	ENSMUSG00000027712
MGI:2180756	ENSMUSG00000050164
MGI:101780	ENSMUSG00000026249
MGI:1929988	ENSMUSG00000030087
MGI:96777	ENSMUSG00000068220
MGI:88326	ENSMUSG00000030336
MGI:1341070	ENSMUSG00000019428
MGI:107158	ENSMUSG00000031622
MGI:95485	ENSMUSG00000025153
MGI:2179326	ENSMUSG00000022307
MGI:99420	ENSMUSG00000007480
MGI:95560	ENSMUSG00000089989
MGI:95634	ENSMUSG00000026787
MGI:107362	ENSMUSG00000027882
MGI:88330	ENSMUSG00000030798
MGI:2679684	ENSMUSG00000029060
MGI:1928897	ENSMUSG00000029423
MGI:98821	ENSMUSG00000032554
MGI:1201691	ENSMUSG00000029110
MGI:104744	ENSMUSG00000041695
MGI:106244	ENSMUSG00000041096
MGI:104686	ENSMUSG00000006134
MGI:87999	ENSMUSG00000025701
MGI:88115	ENSMUSG00000025428
MGI:88253	ENSMUSG00000041261
MGI:1194488	ENSMUSG00000037771
MGI:1860075	ENSMUSG00000015474
MGI:1922658	ENSMUSG00000021905
MGI:109175	ENSMUSG00000022150
MGI:96204	ENSMUSG00000001823
MGI:1344407	ENSMUSG00000026872
MGI:2145374	ENSMUSG00000042426
MGI:96770	ENSMUSG00000027985
MGI:1916966	ENSMUSG00000021569
MGI:1346052	ENSMUSG00000020135
MGI:108476	ENSMUSG00000007989
MGI:101898	ENSMUSG00000026565
MGI:107170	ENSMUSG00000027843
MGI:2677061	ENSMUSG00000035735
MGI:1855688	ENSMUSG00000021124
MGI:95521	ENSMUSG00000027208
MGI:1930780	ENSMUSG00000020900
MGI:98754	ENSMUSG00000020044
MGI:1096317	ENSMUSG00000016349
MGI:102553	ENSMUSG00000025431
MGI:98931	ENSMUSG00000052397
MGI:109124	ENSMUSG00000031520
MGI:1913806	ENSMUSG00000024914
MGI:1917579	ENSMUSG00000054199
MGI:1914440	ENSMUSG00000026254
MGI:1342283	ENSMUSG00000017756
MGI:1889818	ENSMUSG00000029669
MGI:1321159	ENSMUSG00000020349
MGI:103011	ENSMUSG00000037944
MGI:2676840	ENSMUSG00000065397
MGI:1354702	ENSMUSG00000022124
MGI:1929459	ENSMUSG00000025340
MGI:1276110	ENSMUSG00000047230
MGI:1920150	ENSMUSG00000024099
MGI:1270156	ENSMUSG00000020486
MGI:88139	ENSMUSG00000007659
MGI:97352	ENSMUSG00000022061
MGI:88397	ENSMUSG00000045613
MGI:1860489	ENSMUSG00000028134
MGI:88508	ENSMUSG00000017776
MGI:2155936	ENSMUSG00000026274
MGI:88109	ENSMUSG00000041329
MGI:1330832	ENSMUSG00000028979
MGI:1338076	ENSMUSG00000015501
MGI:1333854	ENSMUSG00000004508
MGI:104643	ENSMUSG00000014771
MGI:1196288	ENSMUSG00000027613
MGI:2140361	ENSMUSG00000028521
MGI:1097156	ENSMUSG00000017969
MGI:1314872	ENSMUSG00000061436
MGI:2146785	ENSMUSG00000034786
MGI:1861232	ENSMUSG00000030142
MGI:105049	ENSMUSG00000027765
MGI:95842	ENSMUSG00000053129
MGI:1341163	ENSMUSG00000037313
MGI:1351468	ENSMUSG00000039315
MGI:1861735	ENSMUSG00000026109
MGI:3036262	ENSMUSG00000038349
MGI:2156003	ENSMUSG00000050213
MGI:1917057	ENSMUSG00000051675
MGI:1915115	ENSMUSG00000030844
MGI:1346342	ENSMUSG00000028255
MGI:1347465	ENSMUSG00000033837
MGI:1309480	ENSMUSG00000027304
MGI:88446	ENSMUSG00000027966
MGI:3606242	ENSMUSG00000034738
MGI:1352756	ENSMUSG00000038910
MGI:1330848	ENSMUSG00000037685
MGI:2445053	ENSMUSG00000046318
MGI:109374	ENSMUSG00000055978
MGI:87895	ENSMUSG00000026253
MGI:104535	ENSMUSG00000000301
MGI:1347076	ENSMUSG00000046364
MGI:1929601	ENSMUSG00000024425
